"LocID";"SeasonID";"PlotID";"SampleDesc";"SampleID"
"eusun1";"24/25";"13E";"raw";"0001-13E-A"
"eusun1";"24/25";"13E";"sep-ergot";"0001-13E-B1"
"eusun1";"24/25";"13E";"sep-grain";"0001-13E-B2"
"eusun1";"24/25";"13W";"raw";"0001-13W-A"
"eusun1";"24/25";"13W";"sep-ergot";"0001-13W-B1"
"eusun1";"24/25";"13W";"sep-grain";"0001-13W-B2"
"eusun1";"24/25";"26E";"raw";"0001-26E-A"
"eusun1";"24/25";"26E";"sep-ergot";"0001-26E-B1"
"eusun1";"24/25";"26E";"sep-grain";"0001-26E-B2"
"eusun1";"24/25";"26W";"raw";"0001-26W-A"
"eusun1";"24/25";"26W";"sep-ergot";"0001-26W-B1"
"eusun1";"24/25";"26W";"sep-grain";"0001-26W-B2"
"eusun1";"24/25";"3E";"raw";"0001-3E-A"
"eusun1";"24/25";"3E";"sep-ergot";"0001-3E-B1"
"eusun1";"24/25";"3E";"sep-grain";"0001-3E-B2"
"eusun1";"24/25";"3W";"raw";"0001-3W-A"
"eusun1";"24/25";"3W";"sep-ergot";"0001-3W-B1"
"eusun1";"24/25";"3W";"sep-grain";"0001-3W-B2"
"eusun1";"24/25";"4E";"raw";"0001-4E-A"
"eusun1";"24/25";"4E";"sep-ergot";"0001-4E-B1"
"eusun1";"24/25";"4E";"sep-grain";"0001-4E-B2"
"eusun1";"24/25";"4W";"raw";"0001-4W-A"
"eusun1";"24/25";"4W";"sep-ergot";"0001-4W-B1"
"eusun1";"24/25";"4W";"sep-grain";"0001-4W-B2"
"eusun1";"24/25";"55E";"raw";"0001-55E-A"
"eusun1";"24/25";"55E";"sep-ergot";"0001-55E-B1"
"eusun1";"24/25";"55E";"sep-grain";"0001-55E-B2"
"eusun1";"24/25";"55W";"raw";"0001-55W-A"
"eusun1";"24/25";"55W";"sep-ergot";"0001-55W-B1"
"eusun1";"24/25";"55W";"sep-grain";"0001-55W-B2"
"eusun1";"24/25";"66E";"raw";"0001-66E-A"
"eusun1";"24/25";"66E";"sep-ergot";"0001-66E-B1"
"eusun1";"24/25";"66E";"sep-grain";"0001-66E-B2"
"eusun1";"24/25";"66W";"raw";"0001-66W-A"
"eusun1";"24/25";"66W";"sep-ergot";"0001-66W-B1"
"eusun1";"24/25";"66W";"sep-grain";"0001-66W-B2"
"eusun1";"24/25";"69E";"raw";"0001-69E-A"
"eusun1";"24/25";"69E";"sep-ergot";"0001-69E-B1"
"eusun1";"24/25";"69E";"sep-grain";"0001-69E-B2"
"eusun1";"24/25";"69W";"raw";"0001-69W-A"
"eusun1";"24/25";"69W";"sep-ergot";"0001-69W-B1"
"eusun1";"24/25";"69W";"sep-grain";"0001-69W-B2"
"eusun1";"24/25";"8E";"raw";"0001-8E-A"
"eusun1";"24/25";"8E";"sep-ergot";"0001-8E-B1"
"eusun1";"24/25";"8E";"sep-grain";"0001-8E-B2"
"eusun1";"24/25";"8W";"raw";"0001-8W-A"
"eusun1";"24/25";"8W";"sep-ergot";"0001-8W-B1"
"eusun1";"24/25";"8W";"sep-grain";"0001-8W-B2"
"sexy1";"24/25";"101";"raw";"0101-101-A"
"sexy1";"24/25";"101";"sep-ergot";"0101-101-B1"
"sexy1";"24/25";"101";"sep-grain";"0101-101-B2"
"sexy1";"24/25";"102";"raw";"0101-102-A"
"sexy1";"24/25";"102";"sep-ergot";"0101-102-B1"
"sexy1";"24/25";"102";"sep-grain";"0101-102-B2"
"sexy1";"24/25";"103";"raw";"0101-103-A"
"sexy1";"24/25";"103";"sep-ergot";"0101-103-B1"
"sexy1";"24/25";"103";"sep-grain";"0101-103-B2"
"sexy1";"24/25";"104";"raw";"0101-104-A"
"sexy1";"24/25";"104";"sep-ergot";"0101-104-B1"
"sexy1";"24/25";"104";"sep-grain";"0101-104-B2"
"sexy1";"24/25";"105";"raw";"0101-105-A"
"sexy1";"24/25";"105";"sep-ergot";"0101-105-B1"
"sexy1";"24/25";"105";"sep-grain";"0101-105-B2"
"sexy1";"24/25";"106";"raw";"0101-106-A"
"sexy1";"24/25";"106";"sep-ergot";"0101-106-B1"
"sexy1";"24/25";"106";"sep-grain";"0101-106-B2"
"sexy1";"24/25";"107";"raw";"0101-107-A"
"sexy1";"24/25";"107";"sep-ergot";"0101-107-B1"
"sexy1";"24/25";"107";"sep-grain";"0101-107-B2"
"sexy1";"24/25";"108";"raw";"0101-108-A"
"sexy1";"24/25";"108";"sep-ergot";"0101-108-B1"
"sexy1";"24/25";"108";"sep-grain";"0101-108-B2"
"sexy1";"24/25";"109";"raw";"0101-109-A"
"sexy1";"24/25";"109";"sep-ergot";"0101-109-B1"
"sexy1";"24/25";"109";"sep-grain";"0101-109-B2"
"sexy1";"24/25";"110";"raw";"0101-110-A"
"sexy1";"24/25";"110";"sep-ergot";"0101-110-B1"
"sexy1";"24/25";"110";"sep-grain";"0101-110-B2"
"sexy1";"24/25";"111";"raw";"0101-111-A"
"sexy1";"24/25";"111";"sep-ergot";"0101-111-B1"
"sexy1";"24/25";"111";"sep-grain";"0101-111-B2"
"sexy1";"24/25";"112";"raw";"0101-112-A"
"sexy1";"24/25";"112";"sep-ergot";"0101-112-B1"
"sexy1";"24/25";"112";"sep-grain";"0101-112-B2"
"sexy1";"24/25";"201";"raw";"0101-201-A"
"sexy1";"24/25";"201";"sep-ergot";"0101-201-B1"
"sexy1";"24/25";"201";"sep-grain";"0101-201-B2"
"sexy1";"24/25";"202";"raw";"0101-202-A"
"sexy1";"24/25";"202";"sep-ergot";"0101-202-B1"
"sexy1";"24/25";"202";"sep-grain";"0101-202-B2"
"sexy1";"24/25";"203";"raw";"0101-203-A"
"sexy1";"24/25";"203";"sep-ergot";"0101-203-B1"
"sexy1";"24/25";"203";"sep-grain";"0101-203-B2"
"sexy1";"24/25";"204";"raw";"0101-204-A"
"sexy1";"24/25";"204";"sep-ergot";"0101-204-B1"
"sexy1";"24/25";"204";"sep-grain";"0101-204-B2"
"sexy1";"24/25";"205";"raw";"0101-205-A"
"sexy1";"24/25";"205";"sep-ergot";"0101-205-B1"
"sexy1";"24/25";"205";"sep-grain";"0101-205-B2"
"sexy1";"24/25";"206";"raw";"0101-206-A"
"sexy1";"24/25";"206";"sep-ergot";"0101-206-B1"
"sexy1";"24/25";"206";"sep-grain";"0101-206-B2"
"sexy1";"24/25";"207";"raw";"0101-207-A"
"sexy1";"24/25";"207";"sep-ergot";"0101-207-B1"
"sexy1";"24/25";"207";"sep-grain";"0101-207-B2"
"sexy1";"24/25";"208";"raw";"0101-208-A"
"sexy1";"24/25";"208";"sep-ergot";"0101-208-B1"
"sexy1";"24/25";"208";"sep-grain";"0101-208-B2"
"sexy1";"24/25";"209";"raw";"0101-209-A"
"sexy1";"24/25";"209";"sep-ergot";"0101-209-B1"
"sexy1";"24/25";"209";"sep-grain";"0101-209-B2"
