East,North,Value
651889.4242129097,6133602.9279815685,1.0
651887.1689090085,6133602.8504365105,4.0
651885.1602789542,6133602.781373914,3.0
651883.1319042934,6133602.773512401,3.0
651881.0020622988,6133602.638405127,6.0
651900.7060452905,6133603.161209226,2.0
651898.4331218521,6133603.083052544,2.0
651896.2119944727,6133603.037617573,5.0
651893.9369458291,6133603.021269172,4.0
651891.6795167901,6133603.005527777,2.0
651912.0001839257,6133603.549586525,12.0
651909.7624997129,6133603.472635842,4.0
651907.4708941127,6133603.424771581,6.0
651905.1979707526,6133603.346611416,3.0
651902.9437295854,6133603.238155318,2.0
651932.2316901516,6133604.121611795,5.0
651930.0468647396,6133604.046468818,8.0
651927.9159608157,6133603.94224188,1.0
651925.714578602,6133603.835592089,2.0
651881.8037990895,6133598.303498618,3.0
651883.0139706465,6133600.046780157,3.0
651885.0253461299,6133600.549089346,4.0
651887.0868359106,6133600.619969311,12.0
651613.9676612448,6133551.60433902,0.0
651881.8340787776,6133600.501245299,0.0
651922.8954489203,6133603.738637775,4.0
651920.8142152037,6133603.72894108,3.0
651918.6811856098,6133603.68652456,6.0
651916.4424386636,6133603.64047347,4.0
651914.2213112891,6133603.59502944,4.0
651902.608614559,6133601.184623294,3.0
651904.6535472728,6133601.2240026025,2.0
651906.7337191369,6133601.264594648,5.0
651908.8138910127,6133601.305187672,1.0
651931.8997772557,6133601.975368389,9.0
651934.0151883045,6133602.017185275,5.0
651936.1274107121,6133602.151712107,7.0
651939.7401587132,6133600.203022357,3.0
651909.8284933466,6133598.988674033,1.0
651907.676779367,6133598.976559939,4.0
651901.2093312939,6133598.785103158,1.0
651921.341404533,6133601.73600213,2.0
651925.6032144515,6133601.944450655,6.0
651927.7341193381,6133602.048676464,6.0
651929.8174796748,6133601.996570446,9.0
651900.5834266975,6133601.0840448355,0.0
651938.1738560712,6133601.634247323,0.0
651905.49195161,6133598.90142915,0.0
651903.3423629912,6133598.8275112035,0.0
651923.4899290847,6133601.8408318395,0.0
651889.1328312139,6133600.628438448,6.0
651891.2130031293,6133600.669023179,7.0
651894.4363219679,6133600.810794641,8.0
651896.513306055,6133600.944090821,4.0
651910.8598864686,6133601.313666874,1.0
651912.8861369521,6133601.383347065,8.0
651914.9818029595,6133601.486354876,4.0
651917.0432925328,6133601.557248831,6.0
651919.08716252,6133601.627537806,5.0
651920.6282320791,6133599.391010851,5.0
651918.4807690971,6133599.255279574,3.0
651916.3135609683,6133599.180749372,4.0
651914.1629096691,6133599.137729136,3.0
651912.0298779596,6133599.095315864,1.0
651931.2560258148,6133599.663702259,12.0
651929.1406136814,6133599.6218867125,6.0
651927.007581982,6133599.579466203,4.0
651922.741518617,6133599.4946282795,3.0
651940.6267779567,6133602.1208294695,1.0
651939.7193504113,6133600.295125264,6.0
651937.6449416965,6133599.5740461685,1.0
651898.5384939786,6133601.044667411,0.0
651924.8756130984,6133599.506143747,0.0
651935.5263407876,6133599.624936498,0.0
651933.3879946731,6133599.737027798,0.0
651899.0752369838,6133598.773599125,2.0
651896.9774444819,6133598.732404851,3.0
651894.845475428,6133598.659096897,5.0
651892.7487455143,6133598.587001649,3.0
651890.6333334384,6133598.545204549,1.0
651889.907837528,6133596.045097766,1.0
651892.0761095565,6133596.088712003,1.0
651894.225699418,6133596.162624444,1.0
651888.5366035034,6133598.473111302,3.0
651886.4969824331,6133598.279224554,3.0
651884.4045024896,6133598.0835213335,1.0
651882.4274788774,6133598.634337113,6.0
651881.7223425715,6133596.568085123,1.0
651898.4720203187,6133596.308634884,3.0
651904.8316290748,6133596.558258241,3.0
651906.9822814884,6133596.601273912,1.0
651911.2638413446,6133596.748508447,11.0
651913.3958114511,6133596.821824311,6.0
651915.5619579753,6133596.927256044,4.0
651917.730229958,6133596.97088288,4.0
651887.7945493669,6133595.94149608,0.0
651896.3576696718,6133596.235932078,0.0
651900.5666260915,6133596.442538795,0.0
651902.6996589092,6133596.484946513,0.0
651909.1329339134,6133596.644290631,0.0
651901.4370802152,6133594.213885292,1.0
651899.3040463207,6133594.171478204,1.0
651897.1710124379,6133594.129072146,2.0
651895.056660758,6133594.056369982,1.0
651880.8138275342,6133594.773296425,2.0
651880.6696833032,6133594.861159059,4.0
651882.6693738118,6133595.703399963,3.0
651885.6086577413,6133595.897278136,2.0
651892.951968315,6133591.1375651965,2.0
651897.2522154613,6133591.254488915,3.0
651901.4985411288,6133591.400502187,4.0
651930.5044303978,6133597.410206263,6.0
651932.6011611653,6133597.482319426,2.0
651934.7010805327,6133597.461724653,8.0
651936.8122422327,6133597.627154754,4.0
651938.5225684418,6133598.67604576,1.0
651925.1396885276,6133594.905235655,2.0
651923.0242742086,6133594.8634230755,2.0
651920.8746834842,6133594.789496628,5.0
651918.725092741,6133594.7155712275,1.0
651903.569051467,6133594.287196394,0.0
651879.1461637847,6133593.5093186805,0.0
651895.1015605931,6133591.211478025,0.0
651899.3676311234,6133591.296289126,0.0
651916.5392000414,6133594.671337987,0.0
651919.8445804212,6133597.043595922,3.0
651921.9941700404,6133597.117521885,2.0
651924.1272028525,6133597.159939953,2.0
651926.2404904625,6133597.263559038,1.0
651928.3724604393,6133597.336882135,3.0
651914.3885465458,6133594.62831768,1.0
651912.2213361793,6133594.553789522,8.0
651910.0717453908,6133594.479868336,1.0
651907.9045349865,6133594.405342297,1.0
651905.7362618942,6133594.361720302,3.0
651925.0655216986,6133591.93249,2.0
651927.1788118137,6133592.036109491,6.0
651929.2589883317,6133592.076712072,4.0
651933.420404264,6133592.127017194,3.0
651882.2585475243,6133591.233984708,3.0
651884.3979576936,6133591.090965638,2.0
651888.6858978235,6133591.052760292,9.0
651890.8178704999,6133591.126065212,4.0
651882.4821999155,6133593.96435167,2.0
651881.072898168,6133592.368921535,1.0
651931.338102014,6133592.148218609,0.0
651886.5352429859,6133591.009753571,0.0
651880.0629141585,6133590.446886335,0.0
651878.0196593202,6133590.871669042,0.0
651880.1286999458,6133591.098877949,0.0
651933.7028120336,6133595.199744027,1.0
651931.5708409828,6133595.126418373,1.0
651929.4388699136,6133595.053093748,7.0
651927.28821641,6133595.010067157,1.0
651939.0652600364,6133596.745520773,5.0
651940.32610388,6133594.963454839,1.0
651892.9599286574,6133593.984274668,7.0
651942.021674104,6133593.877011617,2.0
651890.8445143765,6133593.942477506,4.0
651888.7664644029,6133593.840087031,2.0
651940.146719183,6133595.050103495,1.0
651886.6697322488,6133593.767994706,1.0
651938.0196128652,6133595.34821648,6.0
651884.5596305621,6133593.5716856355,5.0
651905.7656743358,6133591.454416489,5.0
651907.8810900287,6133591.496220779,2.0
651914.3496117067,6133591.656784171,3.0
651916.5013293903,6133591.6689014565,1.0
651918.6685412067,6133591.743431692,3.0
651920.8015765614,6133591.785848112,4.0
651922.9159295312,6133591.858562583,5.0
651935.8710851364,6133595.243379754,0.0
651903.6326390457,6133591.412007331,0.0
651910.0493645584,6133591.539843801,0.0
651912.200019491,6133591.582861972,0.0
651943.7658522497,6133592.915999063,5.0
651944.170778559,6133590.887917411,12.0
651943.5692608773,6133588.887097333,3.0
651940.040758309,6133586.847481995,3.0
651935.2396396904,6133593.086833942,6.0
651936.7412720866,6133594.561699831,1.0
651938.6320470948,6133595.493039084,4.0
651942.5290036155,6133594.513252221,5.0
651902.4934978157,6133586.577210148,2.0
651904.608915793,6133586.619012831,7.0
651906.7408907362,6133586.692325402,8.0
651908.8376264062,6133586.764427199,2.0
651910.9696013128,6133586.837741815,3.0
651913.6312277348,6133586.898332069,2.0
651915.7642653515,6133586.940746018,2.0
651917.896240228,6133587.014063977,4.0
651920.0292778524,6133587.056479987,2.0
651934.6824298444,6133587.746069527,2.0
651936.6925793744,6133587.258294927,2.0
651938.3779720515,6133585.9549234295,1.0
651942.1536008442,6133587.477065252,0.0
651940.663615026,6133595.408217088,0.0
651922.161252707,6133587.129800006,0.0
651939.2410068902,6133583.942597897,0.0
651940.5643192162,6133585.47321077,0.0
651926.4262651718,6133587.245540153,2.0
651928.5219379072,6133587.34855428,7.0
651930.6010538097,6133587.420060434,8.0
651932.6780439848,6133587.553373524,1.0
651881.1641848863,6133586.122278138,1.0
651883.2919098458,6133586.3191913245,1.0
651885.4158278538,6133586.113760943,6.0
651887.5344334156,6133586.062846494,16.0
651889.665345938,6133586.167053802,3.0
651937.9425100151,6133587.33222499,1.0
651936.2726118248,6133588.698008612,2.0
651934.2849478272,6133589.557831133,2.0
651930.0434854401,6133589.783228093,4.0
651927.8720212814,6133589.832304208,1.0
651925.7192396482,6133589.851084378,3.0
651923.6027601107,6133589.840174537,1.0
651885.3089561984,6133588.709005778,1.0
651921.4697237756,6133589.797756783,2.0
651883.4953743836,6133589.636715029,4.0
651919.3025109819,6133589.723225188,2.0
651882.4304067995,6133587.774667855,1.0
651924.2942903393,6133587.172218075,0.0
651932.1599651456,6133589.794141018,0.0
651881.1518777295,6133585.967157426,0.0
651879.2984518743,6133584.97524864,0.0
651891.8501798655,6133586.2421766585,1.0
651893.9645352613,6133586.314877225,3.0
651900.3625854794,6133586.472996645,1.0
651895.8113109604,6133589.039176799,3.0
651893.6958942716,6133588.99737831,1.0
651891.5815401624,6133588.924677849,1.0
651889.4858682065,6133588.821681244,5.0
651887.3933838196,6133588.625976682,2.0
651906.4391280843,6133589.31180809,2.0
651904.2895347908,6133589.237889759,1.0
651902.1741180709,6133589.196087209,7.0
651900.0421443724,6133589.12277682,2.0
651897.9091080434,6133589.080370445,1.0
651917.1881570182,6133589.650512464,1.0
651915.05618342,6133589.577194826,3.0
651912.8879078524,6133589.533569361,3.0
651910.7206949985,6133589.459041981,2.0
651908.5887213591,6133589.385727467,2.0
651936.1390515418,6133584.887852232,1.0
651933.9830786784,6133584.999337346,1.0
651896.0975728653,6133586.357281675,0.0
651898.230610481,6133586.399687152,0.0
651942.3285713631,6133586.49301828,0.0
651940.408931229,6133585.37504759,0.0
651938.290772994,6133584.899980074,0.0
651931.8511027015,6133584.92601164,1.0
651929.7025699028,6133584.821177998,7.0
651927.570593874,6133584.747854357,2.0
651888.9659668866,6133583.420329212,3.0
651886.8713548509,6133583.286430908,2.0
651882.7831554337,6133583.671840528,1.0
651910.2670473508,6133584.183722575,1.0
651908.1163888486,6133584.140705405,7.0
651905.9678556918,6133584.035883317,14.0
651903.8182598343,6133583.961965258,1.0
651901.6862835963,6133583.888654119,3.0
651881.4898390706,6133579.728995157,1.0
651885.3765209299,6133581.100207887,1.0
651899.5719269785,6133583.815949874,2.0
651895.3255940494,6133583.669938575,1.0
651893.2112373771,6133583.597237376,4.0
651925.4209981896,6133584.673925779,0.0
651923.2714024868,6133584.599998247,0.0
651884.7612481355,6133583.090121824,0.0
